"Tipo","Nombre"
"Espacios Docentes","Edificio A - 1.0 A (Ateca)"
"Espacios Docentes","Edificio C - 2.2C"
"Espacios Docentes","Edificio D - 2.2D"
"Espacios Docentes","Edificio C - 2.4C"
"Espacios Docentes","Edificio B - 2.2B"
"Espacios Docentes","Edificio B - 2.1B"
"Espacios Docentes","Edificio B - 1.1B"
"Espacios Docentes","Edificio A - Sala de usos múltiples"
"Espacios Docentes","Pistas deportivas 1"
"Espacios Docentes","Edificio A - LFQ"
"Espacios Docentes","Edificio A - LCIN"
"Espacios Docentes","Edificio A - 2.6A"
"Espacios Docentes","Edificio A - 2.5A"
"Espacios Docentes","Edificio A - 2.4A (Inf)"
"Espacios Docentes","Edificio A - 2.3A (Inf)"
"Espacios Docentes","Edificio C - Gimnasio"
"Espacios Docentes","Biblioteca"
"Espacios Docentes","Edificio B - 1.2B"
"Espacios Docentes","Edificio A - 2.1A"
"Espacios Docentes","Edificio A - 3.12A"
"Espacios Docentes","Edificio A - 3.11A"
"Espacios Docentes","Edificio A - Plástica (3.9A) "
"Espacios Docentes","Edificio C - Música"
"Espacios Docentes","Edificio A - 2.7A"
"Espacios Docentes","Edificio A - 2.8A"
"Espacios Docentes","Edificio C - 2.3C"
"Espacios Docentes","Edificio A - 3.8A"
"Espacios Docentes","Edificio A - 3.7A"
"Espacios Docentes","Edificio A - 3.6A"
"Espacios Docentes","Edificio A - 3.5A"
"Espacios Docentes","Edificio A - 3.4A"
"Espacios Docentes","Edificio A - 3.3A"
"Espacios Docentes","Edificio A - 3.2A"
"Espacios Docentes","Edificio A - 3.1A"
"Espacios Docentes","Edificio A - 3.10A"
"Espacios Docentes","Edificio D - 2.3D"
"Espacios Docentes","Edificio D - 2.1D"
"Espacios Docentes","Edificio C - 2.1C"
"Espacios Docentes","Edificio A - 2.11A"
"Espacios Docentes","Edificio A - 2.10A"
"Espacios Docentes","Edificio A - 1.9A"
"Espacios Docentes","Edificio A - 1.8A"
"Espacios Docentes","Edificio A - 1.7A"
"Espacios Docentes","Edificio A - 1.6A"
"Espacios Docentes","Edificio A - 1.5A"
"Espacios Docentes","Edificio A - 1.4A"
"Espacios Docentes","Edificio A - 1.3A"
"Espacios Docentes","Edificio D - 1.2D"
"Espacios Docentes","Edificio C - 1.2C"
"Espacios Docentes","Edificio A - 1.2A"
"Espacios Docentes","Edificio D - 1.1D"
"Espacios Docentes","Edificio C - 1.1C"
"Espacios Docentes","Edificio A - 1.1A"
"Espacios Docentes","Edificio A - 1.10A"
"Espacios Docentes","Edificio A - 2.9A"
"Espacios Docentes","Edificio A - 2.2A"
